organism	temperature
Actinomyces neuii	37
Actinomyces odontolyticus	37
Actinomyces odorifer	26
Actinomyces olivaceoviridis	26
Actinomyces olivochromogenus	26
Actinomyces olivoviridis	26
Actinomyces oricola	37
Actinomyces oris	37
Actinomyces parabifidus	37
Actinomyces polynesiensis	37
Actinomyces propionicus	37
Actinomyces pyogenes	37
Actinomyces radicidentis	37
Actinomyces radingae	37
Actinomyces rangoon	26
Actinomyces rectiverticillatus	26
Actinomyces rectiviolaceus	28
Actinomyces roseolus	26
Actinomyces roseoviolaceus	26
Actinomyces rubrogriseus	28
Actinomyces ruminicola	45
Actinomyces rutgersensis	26
Actinomyces scabies	26
Actinomyces slackii	37
Actinomyces sp.	37
Actinomyces sporocinereus	28
Actinomyces suimastitidis	37
Actinomyces suis	37
Actinomyces tauricus	28
Actinomyces timonensis	37
Actinomyces turicensis	37
Actinomyces urogenitalis	37
Actinomyces vaccimaxillae	37
Actinomyces varsoviensis	26
Actinomyces violaceolatus	26
Actinomyces violaceorectus	26
Actinomyces violaceus	26
Actinomyces violaceus-ruber	26
Actinomyces violarus	26
Actinomyces violascens	26
Actinomyces violatus	26
Actinomyces violochromogenes	26
Actinomyces viridis	26
Actinomyces viridiviolaceus	26
Actinomyces virido-diastaticus	26
Actinomyces viridochromogenes	26
Actinomyces viscosus	37
Actinomyces wedmorensis	28
Actinomyces weissii	37
Actinomyces willmorei	26
Actinomycetospora atypica	28
Actinomycetospora chiangmaiensis	28
Actinomycetospora chibensis	28
Actinomycetospora chlora	28
Actinomycetospora cinnamomea	28
Actinomycetospora corticicola	28
Actinomycetospora iriomotensis	28
Actinomycetospora lutea	28
Actinomycetospora rhizophila	28
Actinomycetospora rishiriensis	28
Actinomycetospora straminea	28
Actinomycetospora succinea	28
Actinophrys sol	20
Actinophytocola algeriensis	28
Actinophytocola burenkhanensis	28
Actinophytocola corallina	28
Actinophytocola gilvus	28
Actinophytocola oryzae	28
Actinophytocola sediminis	28
Actinophytocola timorensis	28
Actinophytocola xinjiangensis	28
Actinoplanes abujensis	28
Actinoplanes arizonaensis	26
Actinoplanes armeniacus	27
Actinoplanes atraurantiacus	28
Actinoplanes aurantiacus	28
Actinoplanes auranticolor	27
Actinoplanes awajinensis	26
Actinoplanes brasiliensis	28
Actinoplanes caeruleus	27
Actinoplanes campanulatus	28
Actinoplanes capillaceus	28
Actinoplanes consettensis	27
Actinoplanes couchii	28
Actinoplanes cyaneus	28
Actinoplanes deccanensis	27
Actinoplanes derwentensis	28
Actinoplanes digitatis	27
Actinoplanes durhamensis	27
Actinoplanes ferrugineus	27
Actinoplanes friuliensis	28
Actinoplanes garbadinensis	27
Actinoplanes globisporus	28
Actinoplanes hulinensis	28
Actinoplanes humidus	27
Actinoplanes ianthinogenes	27
Actinoplanes italicus	27
Actinoplanes liguriae	26
Actinoplanes liguriensis	27
Actinoplanes lobatus	37
Actinoplanes luteus	28
Actinoplanes lutulentus	28
Actinoplanes minutisporangius	27
Actinoplanes missouriensis	27
Actinoplanes nipponensis	27
Actinoplanes octamycinicus	28
Actinoplanes palleronii	28
Actinoplanes philippinensis	27
Actinoplanes rectilineatus	27
Actinoplanes regularis	28
Actinoplanes rishiriensis	28
Actinoplanes rutilosporangius	28
Actinoplanes siamensis	28
Actinoplanes sichuanensis	28
Actinoplanes sp.	27
Actinoplanes teichomyceticus	28
Actinoplanes tereljensis	28
Actinoplanes toevensis	28
Actinoplanes tuftoflagellus	28
Actinoplanes utahensis	27
Actinoplanes violaceus	30
Actinoplanes xinjiangensis	28
Actinoplanes yunnanensis	26
Actinopolymorpha alba	28
Actinopolymorpha cephalotaxi	28
Actinopolymorpha pittospori	28
Actinopolymorpha rutila	28
Actinopolymorpha singaporensis	29
Actinopolyspora alba	37
Actinopolyspora algeriensis	28
Actinopolyspora biskrensis	28
Actinopolyspora erythraea	28
Actinopolyspora halophila	37
Actinopolyspora iraqiensis	28
Actinopolyspora lacussalsi	37
Actinopolyspora mortivallis	41
Actinopolyspora mzabensis	28
Actinopolyspora righensis	28
Actinopolyspora saharensis	28
Actinopolyspora sp.	36
Actinopolyspora xinjiangensis	37
Actinopycnidium caeruleum	28
Actinorectispora indica	37
Actinospica acidiphila	28
Actinospica robiniae	28
Actinosporangium violaceum	27
Actinosporangium vitaminophilum	27
Actinosynnema mirum	27
Actinosynnema pretiosum	28
Actinotalea fermentans	30
Actinotalea suaedae	28
Actinotignum sanguinis	37
Actinotignum schaalii	37
Actinotignum urinale	37
Actinotrichia fragilis	15
Acytostelium anastomosans	23
Acytostelium ellipticum	24
Acytostelium leptosomum	20
Acytostelium longisorophorum	23
Acytostelium magnisorum	23
Acytostelium serpentarium	23
Acytostelium singulare	23
Acytostelium subglobosum	24
Adenoides eludens	20
Adhaeribacter aquaticus	30
Adlercreutzia equolifaciens	37
Adriamonas peritocrescens	25
Advenella incenata	35
Advenella kashmirensis	28
Advenella mimigardefordensis	28
Aequorivita antarctica	20
Aequorivita capsosiphonis	25
Aequorivita crocea	20
Aequorivita lipolytica	20
Aequorivita sp.	20
Aequorivita sublithincola	11
Aequorivita viscosa	28
Aeribacillus pallidus	55
Aeriscardovia aeriphila	37
Aerobacter aerogenes	36
Aerobacter cloacae	30
Aerococcus christensenii	34
Aerococcus sanguicola	35
Aerococcus sanguinicola	35
Aerococcus sp.	28
Aerococcus suis	34
Aerococcus urinae	34
Aerococcus urinaeequi	30
Aerococcus urinaehominis	37
Aerococcus vaginalis	30
Aerococcus viridans	35
Aeromicrobium alkaliterrae	28
Aeromicrobium camelliae	28
Aeromicrobium erythreum	33
Aeromicrobium fastidiosum	27
Aeromicrobium flavum	27
Aeromicrobium ginsengisoli	28
Aeromicrobium halocynthiae	25
Aeromicrobium marinum	26
Aeromicrobium massiliense	28
Aeromicrobium panaciterrae	28
Aeromicrobium ponti	28
Aeromicrobium sp.	27
Aeromicrobium tamlense	29
Aeromonas allosaccharophila	28
Aeromonas aquariorum	30
Aeromonas australiensis	29
Aeromonas bestiarum	30
Aeromonas bivalvium	28
Aeromonas caviae	32
Aeromonas culicicola	32
Aeromonas dhakensis	28
Aeromonas diversa	35
Aeromonas dourgesi	34
Aeromonas encheleia	29
Aeromonas enteropelogenes	32
Aeromonas eucrenophila	30
Aeromonas fluvialis	29
Aeromonas formicans	37
Aeromonas hydrophila	31
Aeromonas jandaei	34
Aeromonas liquefaciens	32
Aeromonas media	29
Aeromonas molluscorum	29
Aeromonas piscicola	29
Aeromonas popoffii	29
Aeromonas proteolytica	26
Aeromonas rivipollensis	28
Aeromonas rivuli	28
Aeromonas salmonicida	27
Aeromonas sanarellii	28
Aeromonas schubertii	29
Aeromonas sharmana	30
Aeromonas shigelloides	37
Aeromonas simiae	30
Aeromonas sobria	31
Aeromonas sp.	30
Aeromonas taiwanensis	29
Aeromonas tecta	30
Aeromonas tructi	30
Aeromonas veronii	33
Aeropyrum camini	85
Aeropyrum pernix	90
Aessosporon salmonicolor	26
Aestuariibacter aggregatus	28
Aestuariibacter halophilus	37
Aestuariibacter salexigens	33
Aestuariimicrobium kwangyangense	29
Aetherobacter rufus	28
Afifella marina	25
Afifella pfennigii	28
Afipia birgiae	27
Afipia broomeae	30
Afipia clevelandensis	29
Afipia felis	30
Afipia lausannensis	28
Afipia massiliensis	27
Afipia sp.	29
Agaricostilbum hyphaenes	20
Agaricostilbum pulcherrimum	25
